,Year,State,Region,County,Population,Median Income,Median Housing Price
87,2021,California,NorCal,Stanislaus County,552999,73982,425541.6666666667
88,2021,California,SoCal,Ventura County,839784,96454,819937.5
89,2021,California,NorCal,Madera County,159410,63454,370406.6666666667
90,2021,California,NorCal,Marin County,260206,118209,1601875.0
91,2021,California,NorCal,Mendocino County,91305,59444,547495.8333333334
92,2021,California,NorCal,Merced County,286461,53992,349625.0
93,2021,California,NorCal,Monterey County,437325,82163,854083.3333333334
94,2021,California,NorCal,Nevada County,103487,79519,546287.5
95,2021,California,NorCal,Placer County,412300,103659,637266.6666666666
96,2021,California,NorCal,Sacramento County,1588921,80063,499083.3333333333
97,2021,California,NorCal,San Benito County,66677,101923,766100.0
98,2021,California,SoCal,San Diego County,3286069,91003,826297.5
99,2021,California,NorCal,San Francisco County,815201,121826,1810700.0
100,2021,California,SoCal,San Luis Obispo County,283159,80615,768792.5
101,2021,California,NorCal,San Mateo County,737888,131796,2010708.3333333333
102,2021,California,NorCal,Santa Clara County,1885508,141562,1629062.5
103,2021,California,NorCal,Santa Cruz County,267792,93933,1186204.1666666667
104,2021,California,NorCal,Sonoma County,485887,94295,767266.6666666666
105,2021,California,NorCal,Sutter County,99063,64251,399816.6666666667
106,2021,California,NorCal,Tehama County,65498,48810,327787.5
107,2021,California,NorCal,Tulare County,477054,58209,318210.0
108,2021,California,NorCal,Yolo County,216986,78146,575560.8333333334
109,2021,California,NorCal,Yuba County,83421,63303,401433.3333333333
110,2021,California,NorCal,Lake County,68766,61221,338235.0
111,2021,California,NorCal,Alameda County,1648556,109729,1242958.3333333333
112,2021,California,NorCal,Butte County,208309,64738,434448.3333333333
113,2021,California,NorCal,El Dorado County,193221,87491,646720.0
114,2021,California,NorCal,Fresno County,1013581,63656,367208.3333333333
115,2021,California,NorCal,Humboldt County,136310,54752,408544.1666666667
116,2021,California,SoCal,Kern County,917673,58217,324036.6666666667
117,2022,California,NorCal,Alameda County,1628997,122159,1306546.6666666667
118,2022,California,NorCal,Butte County,207303,64426,446898.3333333333
119,2022,California,NorCal,El Dorado County,192646,105982,671083.3333333334
120,2022,California,NorCal,Fresno County,1015190,69571,408416.6666666667
121,2022,California,NorCal,Humboldt County,135010,57883,445941.6666666667
122,2022,California,SoCal,Kern County,916108,66234,372740.0
123,2022,California,NorCal,Kings County,152981,64368,337270.8333333333
124,2022,California,NorCal,Lake County,68191,51259,350866.6666666667
125,2022,California,SoCal,Los Angeles County,9721138,82516,825003.3333333334
126,2022,California,NorCal,Madera County,160256,76920,413291.6666666667
127,2022,California,NorCal,Marin County,256018,136214,1722708.3333333333
128,2022,California,NorCal,Mendocino County,89783,65520,551875.0
129,2022,California,NorCal,Merced County,290014,66164,385948.3333333333
130,2022,California,NorCal,Monterey County,432858,92840,864791.6666666666
131,2022,California,NorCal,Napa County,134300,100318,989125.0
132,2022,California,NorCal,Nevada County,102293,78401,561875.0
133,2022,California,SoCal,Orange County,3151184,106209,1222730.0
134,2022,California,NorCal,Placer County,417772,105445,675269.1666666666
135,2022,California,SoCal,Riverside County,2473902,86748,611668.3333333334
136,2022,California,NorCal,Sacramento County,1584169,84211,536500.0
137,2022,California,NorCal,San Benito County,67579,111544,801240.8333333334
138,2022,California,SoCal,San Bernardino County,2193656,79091,471849.1666666667
139,2022,California,SoCal,San Diego County,3276208,98928,908187.5
140,2022,California,NorCal,San Francisco County,808437,136692,1775333.3333333333
141,2022,California,NorCal,San Joaquin County,793229,86056,530778.3333333334
142,2022,California,SoCal,San Luis Obispo County,282013,90216,873750.0
143,2022,California,NorCal,San Mateo County,729181,145388,2025041.6666666667
144,2022,California,SoCal,Santa Barbara County,443837,90894,1041875.0
145,2022,California,NorCal,Santa Clara County,1870945,150839,1749708.3333333333
146,2022,California,NorCal,Santa Cruz County,264370,102146,1319583.3333333333
147,2022,California,NorCal,Shasta County,180930,68276,378729.1666666667
148,2022,California,NorCal,Solano County,448747,92959,599041.6666666666
149,2022,California,NorCal,Sonoma County,482650,96830,826887.5
150,2022,California,NorCal,Stanislaus County,551275,75886,455695.0
151,2022,California,NorCal,Sutter County,98503,65018,431525.0
152,2022,California,NorCal,Tehama County,65245,58884,327394.1666666667
153,2022,California,NorCal,Tulare County,477544,64722,357455.8333333333
154,2022,California,SoCal,Ventura County,832605,102569,886541.6666666666
155,2022,California,NorCal,Yolo County,222115,83875,623743.3333333334
156,2022,California,NorCal,Yuba County,84310,65052,428329.1666666667
